count,date
131513,2016-01-26
135423,2016-01-27
130615,2016-01-28
127520,2016-01-29
91721,2016-01-30
94698,2016-01-31
126820,2016-02-01
133236,2016-02-02
134373,2016-02-03
131022,2016-02-04
125506,2016-02-05
87031,2016-02-06
94244,2016-02-07
121222,2016-02-08
128102,2016-02-09
130251,2016-02-10
130580,2016-02-11
123311,2016-02-12
87354,2016-02-13
88822,2016-02-14
125141,2016-02-15
136513,2016-02-16
139454,2016-02-17
138425,2016-02-18
131778,2016-02-19
92780,2016-02-20
102211,2016-02-21
136852,2016-02-22
138679,2016-02-23
135659,2016-02-24
134976,2016-02-25
126860,2016-02-26
83409,2016-02-27
92666,2016-02-28
151494,2016-02-29
133927,2016-03-01
135152,2016-03-02
134100,2016-03-03
128515,2016-03-04
86561,2016-03-05
90284,2016-03-06
128069,2016-03-07
132683,2016-03-08
135213,2016-03-09
135025,2016-03-10
129880,2016-03-11
81909,2016-03-12
84710,2016-03-13
127054,2016-03-14
131696,2016-03-15
133114,2016-03-16
129733,2016-03-17
122611,2016-03-18
84255,2016-03-19
85015,2016-03-20
126151,2016-03-21
130408,2016-03-22
133237,2016-03-23
121908,2016-03-24
107827,2016-03-25
76663,2016-03-26
77760,2016-03-27
109242,2016-03-28
131546,2016-03-29
133345,2016-03-30
127978,2016-03-31
121168,2016-04-01
85936,2016-04-02
84740,2016-04-03
123031,2016-04-04
130130,2016-04-05
132737,2016-04-06
132840,2016-04-07
123392,2016-04-08
82635,2016-04-09
85295,2016-04-10
130763,2016-04-11
138743,2016-04-12
133903,2016-04-13
130106,2016-04-14
124062,2016-04-15
81797,2016-04-16
90068,2016-04-17
130594,2016-04-18
134599,2016-04-19
134930,2016-04-20
129504,2016-04-21
122186,2016-04-22
80781,2016-04-23
85481,2016-04-24
129296,2016-04-25
136562,2016-04-26
131701,2016-04-27
130370,2016-04-28
122570,2016-04-29
79294,2016-04-30
77549,2016-05-01
117536,2016-05-02
150680,2016-05-03
127350,2016-05-04
119457,2016-05-05
116631,2016-05-06
78378,2016-05-07
76187,2016-05-08
121368,2016-05-09
133066,2016-05-10
132744,2016-05-11
127683,2016-05-12
121637,2016-05-13
78503,2016-05-14
81422,2016-05-15
117619,2016-05-16
129902,2016-05-17
141789,2016-05-18
129485,2016-05-19
124842,2016-05-20
77406,2016-05-21
80744,2016-05-22
120364,2016-05-23
129481,2016-05-24
128760,2016-05-25
124042,2016-05-26
116211,2016-05-27
71447,2016-05-28
75370,2016-05-29
110793,2016-05-30
125284,2016-05-31
127408,2016-06-01
125096,2016-06-02
118616,2016-06-03
73294,2016-06-04
77180,2016-06-05
119698,2016-06-06
126458,2016-06-07
126683,2016-06-08
120589,2016-06-09
113209,2016-06-10
73233,2016-06-11
77877,2016-06-12
114861,2016-06-13
125211,2016-06-14
126913,2016-06-15
124199,2016-06-16
114655,2016-06-17
74206,2016-06-18
72880,2016-06-19
115185,2016-06-20
124257,2016-06-21
124174,2016-06-22
122192,2016-06-23
